iter	Passed	Remaining
403	9634	14213
404	9655	14185
405	9679	14162
406	9702	14136
407	9723	14108
408	9742	14078
409	9768	14057
410	9797	14040
411	9819	14013
412	9843	13990
413	9865	13963
414	9883	13932
415	9901	13900
416	9924	13874
417	9947	13851
418	9967	13820
419	9989	13795
420	10012	13769
421	10033	13743
422	10057	13719
423	10081	13694
424	10100	13665
425	10124	13642
426	10149	13620
427	10175	13598
428	10200	13577
429	10231	13563
430	10264	13550
431	10297	13538
432	10328	13524
433	10362	13514
434	10387	13492
435	10417	13475
436	10449	13462
437	10480	13447
438	10504	13423
439	10534	13407
440	10557	13381
441	10579	13356
442	10601	13329
443	10629	13310
444	10657	13291
445	10680	13267
446	10705	13244
447	10726	13216
448	10750	13192
449	10772	13166
450	10801	13148
451	10823	13122
452	10844	13094
453	10863	13065
454	10884	13037
455	10902	13007
456	10922	12977
457	10943	12950
458	10972	12932
459	10993	12905
460	11013	12876
461	11041	12858
462	11066	12834
463	11090	12811
464	11111	12784
465	11133	12757
466	11153	12729
467	11175	12704
468	11195	12675
469	11224	12657
470	11252	12638
471	11274	12612
472	11292	12582
473	11313	12554
474	11340	12534
475	11366	12512
476	11395	12494
477	11423	12475
478	11445	12448
479	11463	12418
480	11484	12391
481	11507	12367
482	11531	12342
483	11550	12314
484	11576	12292
485	11597	12266
486	11621	12242
487	11642	12215
488	11665	12190
489	11688	12165
490	11716	12145
491	11738	12120
492	11762	12096
493	11794	12080
494	11820	12059
495	11843	12034
496	11868	12011
497	11892	11987
498	11916	11963
499	11937	11937
500	11963	11915
501	11989	11894
502	12016	11873
503	12052	11860
504	12079	11839
505	12107	11819
506	12127	11792
507	12150	11767
508	12176	11745
509	12197	11719
510	12217	11691
511	12240	11666
512	12262	11640
513	12283	11614
514	12304	11587
515	12329	11564
516	12349	11536
517	12373	11513
518	12395	11488
519	12417	11461
520	12434	11432
521	12453	11403
522	12476	11379
523	12502	11357
524	12526	11333
525	12548	11308
526	12572	11284
527	12597	11261
528	12620	11237
529	12644	11212
530	12671	11192
531	12700	11172
532	12724	11148
533	12742	11119
534	12765	11095
535	12806	11086
536	12846	11075
537	12873	11055
538	12893	11027
539	12918	11004
540	12942	10980
541	12966	10957
542	12987	10930
543	13017	10911
544	13045	10891
545	13075	10871
546	13108	10855
547	13133	10832
548	13169	10818
549	13193	10794
550	13219	10772
551	13249	10753
552	13281	10735
553	13309	10715
554	13336	10692
555	13364	10672
556	13390	10649
557	13415	10626
558	13445	10607
559	13473	10585
560	13516	10576
561	13546	10557
562	13574	10536
563	13597	10511
564	13629	10493
565	13663	10477
566	13694	10457
567	13720	10435
568	13763	10425
569	13789	10402
570	13815	10380
571	13837	10353
572	13857	10326
573	13883	10303
574	13905	10278
575	13928	10253
576	13951	10227
577	13980	10206
578	14003	10182
579	14029	10159
580	14056	10137
581	14076	10110
582	14093	10080
583	14113	10053
584	14142	10032
585	14166	10008
586	14198	9989
587	14225	9967
588	14254	9946
589	14291	9931
590	14317	9908
591	14346	9887
592	14373	9865
593	14398	9841
594	14432	9823
595	14459	9801
596	14484	9777
597	14512	9755
598	14543	9736
599	14564	9709
600	14583	9682
601	14618	9664
602	14647	9643
603	14707	9642
604	14763	9639
605	14818	9634
606	14850	9614
607	14885	9597
608	14926	9583
609	14945	9555
610	14975	9534
611	15006	9514
612	15039	9494
613	15071	9474
614	15109	9459
615	15141	9439
616	15194	9431
617	15222	9409
618	15297	9416
619	15321	9390
620	15356	9371
621	15378	9345
622	15402	9320
623	15425	9294
624	15441	9264
625	15460	9236
626	15481	9209
627	15500	9181
628	15525	9157
629	15548	9131
630	15564	9102
631	15583	9074
632	15603	9046
633	15621	9017
634	15642	8991
635	15661	8963
636	15679	8934
637	15695	8905
638	15713	8877
639	15739	8853
640	15766	8830
641	15787	8803
642	15808	8776
643	15828	8750
644	15847	8722
645	15873	8698
646	15894	8672
647	15915	8645
648	15936	8618
649	15961	8594
650	15983	8568
651	16005	8542
652	16027	8517
653	16050	8491
654	16072	8465
655	16090	8437
656	16112	8411
657	16131	8384
658	16158	8361
659	16176	8333
660	16197	8306
661	16215	8279
662	16234	8252
663	16256	8226
664	16273	8197
665	16291	8170
666	16311	8143
667	16327	8114
668	16351	8090
669	16382	8068
670	16401	8041
671	16421	8015
672	16440	7988
673	16460	7961
674	16485	7937
675	16503	7909
676	16520	7882
677	16540	7855
678	16563	7830
679	16590	7807
680	16612	7781
681	16634	7756
682	16661	7733
683	16684	7708
684	16705	7682
685	16726	7656
686	16745	7629
687	16770	7605
688	16796	7581
689	16816	7555
690	16837	7529
691	16859	7504
692	16883	7479
693	16902	7452
694	16923	7426
695	16947	7402
696	16969	7376
697	16993	7352
698	17023	7330
699	17047	7306
700	17072	7281
701	17092	7255
702	17115	7230
703	17139	7206
704	17168	7183
705	17192	7159
706	17216	7135
707	17272	7123
708	17315	7106
709	17340	7082
710	17373	7061
711	17397	7037
712	17425	7014
713	17462	6994
714	17501	6976
715	17536	6955
716	17568	6934
717	17603	6913
718	17632	6891
719	17664	6869
720	17687	6844
721	17710	6819
722	17733	6794
723	17765	6772
724	17787	6747
725	17811	6722
726	17836	6697
727	17860	6673
728	17887	6649
729	17909	6624
730	17929	6597
731	17947	6570
732	17969	6545
733	17990	6519
734	18014	6494
735	18031	6467
736	18052	6442
737	18077	6417
738	18102	6393
739	18125	6368
740	18149	6343
741	18169	6317
742	18189	6291
743	18216	6268
744	18240	6243
745	18262	6218
746	18289	6194
747	18316	6170
748	18335	6144
749	18359	6119
750	18381	6094
751	18404	6069
752	18431	6046
753	18454	6020
754	18478	5996
755	18503	5971
756	18526	5946
757	18550	5922
758	18569	5896
759	18590	5870
760	18615	5846
761	18634	5820
762	18659	5795
763	18682	5771
764	18714	5748
765	18738	5724
766	18761	5699
767	18788	5675
768	18810	5650
769	18832	5625
770	18865	5603
771	18887	5578
772	18927	5558
773	18962	5536
774	18984	5511
775	19009	5487
776	19029	5461
777	19050	5435
778	19069	5409
779	19093	5385
780	19127	5363
781	19147	5337
782	19169	5312
783	19190	5287
784	19210	5261
785	19231	5236
786	19250	5210
787	19273	5185
788	19289	5158
789	19316	5134
790	19338	5109
791	19364	5085
792	19390	5061
793	19413	5036
794	19439	5012
795	19461	4987
796	19483	4962
797	19509	4938
798	19543	4916
799	19574	4893
800	19598	4869
801	19623	4844
802	19652	4821
803	19676	4796
804	19709	4774
805	19740	4751
806	19768	4727
807	19801	4705
808	19837	4683
809	19872	4661
810	19901	4637
811	19931	4614
812	19965	4592
813	19993	4568
814	20021	4544
815	20039	4518
816	20061	4493
817	20082	4468
818	20105	4443
819	20127	4418
820	20148	4392
821	20170	4367
822	20191	4342
823	20210	4316
824	20238	4293
825	20261	4268
826	20280	4242
827	20301	4217
828	20325	4192
829	20346	4167
830	20368	4142
831	20394	4118
832	20417	4093
833	20453	4071
834	20472	4045
835	20493	4020
836	20520	3996
837	20545	3971
838	20562	3945
839	20578	3919
840	20600	3894
841	20635	3872
842	20665	3848
843	20694	3825
844	20722	3801
845	20751	3777
846	20781	3753
847	20825	3732
848	20853	3709
849	20880	3684
850	20905	3660
851	20930	3635
852	20978	3615
853	21032	3595
854	21074	3573
855	21112	3551
856	21160	3530
857	21198	3508
858	21224	3483
859	21247	3458
860	21274	3434
861	21294	3409
862	21321	3384
863	21342	3359
864	21368	3334
865	21388	3309
866	21410	3284
867	21437	3260
868	21454	3234
869	21474	3208
870	21501	3184
871	21522	3159
872	21543	3134
873	21566	3109
874	21585	3083
875	21602	3057
876	21621	3032
877	21643	3007
878	21663	2982
879	21687	2957
880	21714	2933
881	21736	2908
882	21757	2882
883	21777	2857
884	21802	2833
885	21829	2808
886	21850	2783
887	21868	2758
888	21892	2733
889	21919	2709
890	21945	2684
891	21967	2659
892	21989	2634
893	22010	2609
894	22028	2584
895	22047	2559
896	22065	2533
897	22085	2508
898	22107	2483
899	22133	2459
900	22150	2433
901	22166	2408
902	22186	2383
903	22207	2358
904	22231	2333
905	22249	2308
906	22269	2283
907	22289	2258
908	22317	2234
909	22351	2210
910	22384	2186
911	22426	2163
912	22464	2140
913	22482	2115
914	22500	2090
915	22530	2066
916	22556	2041
917	22576	2016
918	22598	1991
919	22619	1966
920	22642	1942
921	22666	1917
922	22688	1892
923	22705	1867
924	22724	1842
925	22753	1818
926	22779	1793
927	22805	1769
928	22825	1744
929	22847	1719
930	22873	1695
931	22898	1670
932	22921	1646
933	22941	1621
934	22962	1596
935	22995	1572
936	23019	1547
937	23040	1522
938	23059	1498
939	23079	1473
940	23103	1448
941	23124	1423
942	23144	1398
943	23168	1374
944	23198	1350
945	23217	1325
946	23236	1300
947	23254	1275
948	23275	1250
949	23298	1226
950	23320	1201
951	23341	1176
952	23360	1152
953	23390	1127
954	23423	1103
955	23443	1079
956	23460	1054
957	23482	1029
958	23499	1004
959	23522	980
960	23544	955
961	23563	930
962	23582	906
963	23611	881
964	23636	857
965	23656	832
966	23675	807
967	23697	783
968	23723	758
969	23742	734
970	23763	709
971	23785	685
972	23807	660
973	23853	636
974	23886	612
975	23914	588
976	23938	563
977	23962	539
978	23986	514
979	24010	490
980	24032	465
981	24054	440
982	24083	416
983	24109	392
984	24127	367
985	24148	342
986	24168	318
987	24187	293
988	24208	269
989	24233	244
990	24252	220
991	24278	195
992	24308	171
993	24329	146
994	24352	122
995	24377	97
996	24395	73
997	24422	48
998	24446	24
999	24467	0
